CPR,Phone_number,Region,Gender
0411318521,79177312,Midtjylland,M
0604611813,26565115,Midtjylland,M
2805988359,75028570,Nordjylland,M
1505911874,69620083,Hovedstaden,F
1608867382,48900170,Nordjylland,F
2406921233,23304675,Hovedstaden,M
1407888206,55353850,Hovedstaden,F
0505590767,26259620,Sjælland,M
0104984235,73757645,Syddanmark,M
2306016660,70496549,Syddanmark,F
1206627191,76823230,Nordjylland,M
1305541203,49825691,Sjælland,M
0710037648,60248715,Sjælland,F
0804548944,15157354,Midtjylland,F
1507311111,65621630,Syddanmark,M
2811781610,69039975,Hovedstaden,F
0210638908,81565728,Nordjylland,F
0712286520,74783146,Hovedstaden,F
2910865502,18429774,Hovedstaden,F
3103457471,46851736,Midtjylland,M
0805597661,57641348,Sjælland,M
1012521676,12428414,Sjælland,F
2603874719,82065675,Nordjylland,M
0606046163,58000479,Hovedstaden,M
2003303654,25859287,Sjælland,F
1604461895,12017937,Hovedstaden,M
1103994826,27668576,Sjælland,F
1709962982,92185248,Sjælland,F
2006317530,42585927,Syddanmark,F
3008346340,13140200,Midtjylland,F
1907558915,43597083,Midtjylland,M
2508308568,87146730,Syddanmark,F
0105493508,32522917,Nordjylland,F
1405515256,45238869,Hovedstaden,F
1809003816,71378249,Syddanmark,F
1309825545,30576880,Nordjylland,M
0307645770,33304910,Midtjylland,F
1012531596,59340857,Syddanmark,F
0606438841,11888981,Syddanmark,M
1807402959,99585205,Nordjylland,M
1702541869,12713625,Syddanmark,M
2406653590,92918845,Nordjylland,F
1912281801,96751848,Sjælland,M
2412029927,84025631,Nordjylland,M
2905354137,76658229,Hovedstaden,M
2204283414,28898079,Hovedstaden,F
3011712103,41853639,Hovedstaden,M
0209367981,14840524,Nordjylland,M
2204850293,87609894,Hovedstaden,M
1205045328,40989597,Midtjylland,F
1805533770,39788590,Hovedstaden,F
1212586641,50097970,Sjælland,M
2207993161,78862299,Nordjylland,M
0608910949,87482100,Hovedstaden,M
0707500413,30428891,Sjælland,M
0607831213,65836875,Sjælland,M
0912438939,74358384,Sjælland,M
2801999640,25702688,Hovedstaden,F
0406548397,34073833,Nordjylland,M
0702898835,90959330,Hovedstaden,M
1506742917,47814952,Midtjylland,M
2004814255,13451449,Hovedstaden,M
1009929764,34651908,Sjælland,F
2307854127,22125678,Midtjylland,M
2107600411,93580346,Syddanmark,M
0612722143,30548328,Nordjylland,M
2708788914,20484858,Sjælland,F
1711486419,33673372,Midtjylland,M
1806512592,21560318,Syddanmark,F
0101711882,37642504,Sjælland,F
1906779689,21163214,Nordjylland,M
0910890100,13046627,Hovedstaden,F
0807345511,77975770,Nordjylland,M
0504480992,27090520,Midtjylland,F
2311292135,17588653,Nordjylland,M
2801957223,20472904,Hovedstaden,M
1511652767,70829348,Sjælland,M
1602302423,29034016,Syddanmark,M
3112317898,36483276,Midtjylland,F
1108769443,80441197,Midtjylland,M
