CPR,Phone_number,Region,Gender
2610276135,35356458,Syddanmark,M
0509302386,21308604,Midtjylland,F
2510750440,77871012,Syddanmark,F
2002608262,79337853,Syddanmark,F
1101925604,61430336,Syddanmark,F
2205378141,40710484,Syddanmark,M
0303421217,41738342,Hovedstaden,M
2605558450,55870018,Midtjylland,F
1010395676,85512627,Hovedstaden,F
0205856314,43474247,Hovedstaden,F
2504701434,70823909,Nordjylland,F
1506802360,51175366,Nordjylland,F
1812481169,53074214,Syddanmark,M
0605547652,44578588,Midtjylland,F
2702402882,83287796,Midtjylland,F
2601763816,82333895,Nordjylland,F
0701448609,26075251,Syddanmark,M
1004293681,17566337,Sjælland,M
0706839402,17514791,Nordjylland,F
2812483183,56205915,Syddanmark,M
0804761324,78128879,Midtjylland,F
2301928424,21671456,Syddanmark,F
0401333370,86900452,Syddanmark,F
0302569618,32074249,Sjælland,F
2707303851,21448015,Syddanmark,M
2109716240,99386072,Sjælland,F
1412437648,32028122,Syddanmark,F
3004985169,16087293,Hovedstaden,M
2907445418,89355731,Nordjylland,F
2210671962,10744211,Midtjylland,F
2407967641,97672867,Syddanmark,M
2005957769,23704168,Midtjylland,M
1203797349,52190025,Syddanmark,M
0811917124,75929221,Sjælland,F
0809972103,23105721,Hovedstaden,M
0906406943,62185321,Nordjylland,M
1204975292,37954117,Midtjylland,F
1507477110,83670544,Nordjylland,F
2211566487,51738771,Syddanmark,M
0209687705,77455512,Nordjylland,M
2305662251,11461434,Midtjylland,M
2710275518,56289542,Midtjylland,F
3006780214,37107973,Midtjylland,F
1909526908,69843968,Hovedstaden,F
1908423440,22807521,Nordjylland,F
0403920787,48642566,Hovedstaden,M
1604908214,25108558,Midtjylland,F
0210610893,85484874,Midtjylland,M
0409561834,14041033,Sjælland,F
1812321290,28894681,Syddanmark,F
2106781738,23417861,Midtjylland,F
0408033368,43883087,Midtjylland,F
3107741660,43661753,Syddanmark,F
2712554641,66404330,Nordjylland,M
2103769835,62459118,Nordjylland,M
1705830987,37308518,Midtjylland,M
2711321725,17077171,Syddanmark,M
3105841683,12734400,Hovedstaden,M
2301862187,18417002,Hovedstaden,M
2709474552,79900233,Sjælland,F
2812580486,29901657,Midtjylland,F
2904999885,12425629,Midtjylland,M
1309439676,17627691,Nordjylland,F
2110621528,81266089,Hovedstaden,F
1502929962,48344184,Midtjylland,F
2706010402,87773292,Midtjylland,F
1505613753,43436989,Hovedstaden,M
0111800358,63151760,Midtjylland,F
2607373619,61613648,Hovedstaden,M
0509892156,59728134,Nordjylland,F
0406847213,67737723,Nordjylland,M
2611832460,78515363,Sjælland,F
1609590397,27634257,Nordjylland,M
0905789998,74155967,Nordjylland,F
1409544788,35534693,Nordjylland,F
3009863575,21559799,Midtjylland,M
1610919884,72322844,Midtjylland,F
1303604327,88408140,Sjælland,M
0202525540,62773658,Hovedstaden,F
2709477477,62424207,Syddanmark,M
0711809966,68759357,Sjælland,F
2209763416,77619674,Sjælland,F
1403776214,67190863,Sjælland,F
2405443950,11284426,Syddanmark,F
1812451893,95345984,Hovedstaden,M
0902451757,37042516,Sjælland,M
1308440361,16461745,Nordjylland,M
2909876415,26875688,Nordjylland,M
0803017837,88670641,Nordjylland,M
0504693262,11041866,Sjælland,F
1905749910,98311743,Hovedstaden,F
2110755951,98572056,Syddanmark,M
0202592660,28704106,Midtjylland,F
2601846175,22438895,Syddanmark,M
2810974840,19496611,Sjælland,F
1908933672,55924638,Hovedstaden,F
0411729999,89557767,Sjælland,M
0108015636,54031774,Sjælland,F
1402898150,96948571,Hovedstaden,F
1908686616,18383232,Sjælland,F
1405632328,23493273,Midtjylland,F
2907415513,82526198,Midtjylland,M
1511442656,71652842,Sjælland,F
