SampleID,CPR,SampleDate,Host,Ct
a0148b76-b375-4caa-bab2-a466506b963c,0704550380,2023-01-11,Human,40
46351a11-48be-4e7a-b9a9-d340991c6d4e,0404642875,2021-02-26,Mink,40
159f2efc-34a8-4a1a-8cf0-d79af09c832f,1007797972,2021-11-18,Mink,27
018cc855-4377-4101-b2bd-fbf457ef3fea,1401618726,2022-07-03,Human,31
e2774fb8-0193-4565-8136-97e04ff52831,2212998727,2023-05-07,Human,27
368e4d1e-d969-4d13-9d29-94679c10f1fa,2105778342,2021-11-14,Human,29
aff090be-99fb-4994-b542-c50eb06b14f2,0601805141,2020-12-28,Human,28
017e0087-28c1-4e98-a264-61174ff63cac,3107031385,2023-03-26,Mink,28
3199112b-c076-4fca-8921-61e3c2a4ec06,0911355681,2021-09-07,Human,35
d5d11060-8968-4d03-b084-d5560452d61a,0709428505,2022-11-13,Human,34
c3e64af5-1ef0-459c-a970-ff6410f606f3,0903441131,2021-06-18,Human,40
893a1ba7-456d-4b7a-a3e9-2d506a0f107e,0907309173,2023-02-23,Mink,33
602facb8-e175-441a-b1c7-0ac2a6eea973,2203918712,2023-01-14,Cow,28
e073b9a1-f062-429a-8905-1f64f3298204,0303532313,2022-10-15,Mink,32
74bf3b49-2baa-4f41-baf1-f1ec24062a3c,0906007347,2021-06-14,Human,38
abab741b-29bb-4f92-8cb0-accb3e333258,2601597440,2021-02-14,Human,29
baa23de2-cf56-46b6-a878-b8f84daa4772,1809436673,2021-12-25,Human,29
9f0f4af4-abc2-4e96-8a63-fa25bca5f450,0809942197,2020-09-28,Mink,40
c31c5d4f-9d42-434c-a922-3f0b69c9e2c1,0311767343,2022-10-07,Human,30
f1c32625-ddd7-4f76-ad20-2106d06c1ac5,0501498379,2022-06-29,Human,36
f14f77a5-3084-4c68-b1ab-dbdcfce90528,1102847276,2023-03-08,Mink,36
04f18623-1ab5-48ea-8199-618dd7b468a8,1805850382,2021-08-11,Human,31
72cd429b-1da9-4e06-98c7-df59aa679702,0602412656,2023-07-16,Human,32
718212eb-da4b-4e65-962f-f25c52b7bdc7,2108935369,2021-02-10,Human,33
