SampleID,CPR,SampleDate,Host,Ct
2610276135,7f42c4dc-b24f-4812-9c99-da6a2b143226,2021-04-28,lab 2,34
0509302386,d451f26f-08bc-4545-aa44-a4bcfe05e2ae,2022-10-17,lab 1,38
2510750440,74c81f6c-ebf3-489b-b9a8-0808a9b3878e,2021-02-11,lab 3,36
2002608262,dc3f81cf-2202-47bc-ad9e-af0e8b3258e3,2021-11-27,lab 10,31
1101925604,5977ef5e-980f-4f8b-9364-77f5c5eafb5d,2020-10-22,lab 2,37
2205378141,2d2b1397-b841-4f22-875a-530fe9860240,2021-11-13,lab 3,33
0303421217,96985578-a1eb-4020-b5bb-167267fb8591,2023-05-24,lab 3,37
2605558450,c258724b-4b79-4db8-9336-5f2654d6781e,2023-04-15,lab 9,35
1010395676,dee2f34d-206d-4e3b-af6c-85ad35d0e7b6,2022-10-22,lab 9,32
0205856314,054cd235-40cd-4579-a2be-9f92a7aed902,2022-09-22,lab 8,34
2504701434,e1f95d80-98fd-4527-bdba-0ac1245acbd8,2021-04-16,lab 10,30
1506802360,e774187e-6e93-4755-86a3-009ac7a69e7c,2023-03-04,lab 2,34
1812481169,16d4a69b-bdbc-4a96-90ad-b4b7150fb686,2021-11-25,lab 7,30
0605547652,3afd2220-da11-47cc-8f5a-b25c059c38c6,2022-12-17,lab 5,28
2702402882,9c59fe9e-2c48-432c-ab80-1e08e2728498,2023-05-09,lab 8,37
2601763816,4fb2ff4f-6a73-4fd2-a94a-63724cdcafe7,2022-11-24,lab 1,31
0701448609,fc7b9740-5daa-4cbd-8270-745da80d41ab,2021-09-21,lab 8,32
1004293681,930ecc32-e8cf-40cc-a2fa-d999f86aa404,2021-08-23,lab 8,34
0706839402,c9ed1dd5-7de0-43a2-8520-9b8e29380bff,2021-05-18,lab 7,35
2812483183,c2a7078c-3bd8-45f3-bcbe-5d42a1e8bb46,2023-02-27,lab 2,38
0804761324,91e34588-01cf-4c37-99c0-235c637451ab,2022-05-13,lab 7,35
2301928424,99cf3766-56fe-4a98-b562-4a72551d9a18,2021-08-03,lab 3,33
0401333370,a3eaae84-fb37-40a5-9f5d-ed40e012ff16,2022-06-28,lab 3,29
0302569618,b6d8adfe-884b-41dd-8eb5-e0c3dbe66b53,2023-04-25,lab 8,35
2707303851,5ea94871-eea9-4efb-83c3-71f16eaab156,2021-03-31,lab 8,28
2109716240,708411cf-c5a5-4084-b1a4-d3da2aaf3cbf,2022-06-22,lab 7,35
1412437648,32518bb9-976e-4011-aaa9-46366238452c,2022-06-06,lab 3,38
3004985169,c13d91fd-1aa7-414c-82f4-f160fd4c04e3,2021-03-09,lab 7,33
2907445418,6e382b43-2395-4656-9398-c4d2eb71280e,2020-11-06,lab 3,30
2210671962,d02d25e1-a142-4ec0-a6d4-2013df9a294e,2022-07-19,lab 6,38
2407967641,02702b05-4d1e-49d3-82d9-0240e355f7e5,2021-03-08,lab 4,30
2005957769,b61d0790-5008-42fb-a3e2-f76f0e7129ce,2021-03-25,lab 9,29
1203797349,e18cd9d0-566d-4d19-9254-205fe1c47a01,2022-03-24,lab 8,40
0811917124,6ac58639-34ce-4179-8160-bf399e11338f,2021-06-08,lab 6,33
0809972103,57b10b57-1d9b-4ece-a995-cd9f53815bc4,2022-07-27,lab 3,33
0906406943,c8f0df6d-3c29-4f9f-a9da-edee5407e887,2020-10-07,lab 3,39
1204975292,7cfcab69-7abb-4f24-ba79-1dbb918dec33,2022-01-28,lab 4,37
1507477110,41221761-7185-411d-85c4-fe1715053c50,2021-03-05,lab 5,32
2211566487,6a351654-d981-4906-8076-339c848dd5d2,2023-03-22,lab 7,38
0209687705,234574cb-5360-49f8-90c4-1e2f6f6d6be8,2022-10-06,lab 9,39
2305662251,abaa6763-239c-415d-bb96-bbe6b06af2b2,2023-02-28,lab 6,39
2710275518,54947ef4-8c2c-47e1-b6c7-deee2781da35,2022-06-16,lab 8,34
3006780214,04cba31c-4126-4865-bb65-6caac0ca9318,2023-04-15,lab 2,37
1909526908,16144093-b3e1-403a-8919-0986e3bc134f,2021-07-05,lab 4,27
1908423440,ef003900-8b9f-41fc-b385-d8d6abfe521c,2022-11-27,lab 2,37
0403920787,3ea216d2-1cfa-4aec-9e6f-88db520b4d0e,2021-04-25,lab 3,37
1604908214,4795a80e-763b-4bd5-8a01-d6e22039d2d1,2023-05-16,lab 7,27
0210610893,9cfa499f-7f89-4ff9-9fc4-72ac912871b9,2022-12-01,lab 10,30
